School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
A J WEST ELEMENTARY,Washington,WA ,5.30003E+11,Aberdeen School District,1-Regular school,2-No,2-No,–,33-Town: Remote,373,25.14,14.84,Prekindergarten,5th Grade,Elementary
A J WINTERS ELEMENTARY SCHOOL,Idaho,ID ,1.60024E+11,BEAR LAKE COUNTY DISTRICT,1-Regular school,2-No,2-No,2-No,43-Rural: Remote,298,16.02,18.6,Prekindergarten,5th Grade,Elementary
A K SMITH AREA CAREER CENTER,Indiana,IN ,1.80657E+11,Michigan City Area Schools,3-Vocational school,2-No,2-No,2-No,13-City: Small,0,–,†,9th Grade,12th Grade,High
A L BROWN HIGH,North Carolina,NC ,3.70243E+11,Kannapolis City Schools,1-Regular school,2-No,2-No,2-No,22-Suburb: Mid-size,1641,93.54,17.54,9th Grade,12th Grade,High
A L LOTTS ELEMENTARY,Tennessee,TN ,4.70222E+11,Knox County,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,980,53.2,18.42,Prekindergarten,5th Grade,Elementary
A L STANBACK MIDDLE,North Carolina,NC ,3.70348E+11,Orange County Schools,1-Regular school,2-No,2-No,2-No,41-Rural: Fringe,651,44.32,14.69,6th Grade,8th Grade,Middle
A L WILSON EL SCH,PENNSYLVANIA,PA ,4.2021E+11,Albert Gallatin Area SD,1-Regular school,2-No,2-No,2-No,23-Suburb: Small,393,24.8,15.85,Kindergarten,5th Grade,Elementary
A LEAL JR MIDDLE,Texas,TX ,4.82247E+11,HARLANDALE ISD,1-Regular school,2-No,2-No,–,11-City: Large,778,59.7,13.03,6th Grade,8th Grade,Middle
A M COSGROVE MIDDLE SCHOOL,New York,NY ,3.62778E+11,SPENCERPORT CENTRAL SCHOOL DISTRICT,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,879,81.38,10.8,6th Grade,8th Grade,Middle
A M DAVIS ELEM,Virginia,VA ,5.10084E+11,CHESTERFIELD CO PBLC SCHS,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,731,45.85,15.94,Prekindergarten,5th Grade,Elementary
A M OCHOA EL,Texas,TX ,4.81739E+11,DONNA ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,415,24.96,16.63,Prekindergarten,5th Grade,Elementary
A M PATE EL,Texas,TX ,4.8197E+11,FORT WORTH ISD,1-Regular school,2-No,2-No,–,11-City: Large,439,30.77,14.27,Prekindergarten,5th Grade,Elementary
A M WINDHAM ELEMENTARY SCHOOL,Alabama,AL ,010108001767,Daleville City,1-Regular school,2-No,2-No,2-No,32-Town: Distant,670,33,20.3,Prekindergarten,6th Grade,Elementary
